O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Al $a$ ,Ca $a$ ,Ca $b$ ,Ca Ca ,K $a$ ,K $b$ ,K K ,K Si ,Mg $a$ ,Mg $b$ ,S $a$ ,S $c$ ,S S ,S Si ,S U ,Si $a$ ,Si $b$ ,Si $c$ ,Si Th ,Th $a$ ,Th $c$ ,Th Th ,U $a$ ,U $b$
3.172902646173737518e-01,-3.295768719762709793e+02,2.657702479089310565e-01,-9.625353938785030650e-01,-2.048572005392775286e-01,1.537755015405000947e+01,8.207883407484728444e-01,-6.718752293408972731e-01,-9.470540198159413392e-02,4.322481935415604763e-03,-2.200733435174638693e-04,3.831977214648902286e-01,-4.593312902852216273e-01,-1.379206662134666028e-01,2.742132251451308207e+02,-7.267867540800724058e+00,-1.816932427474907130e-02,-9.022594265138123362e-03,1.569763337967934991e+00,-4.918939040816878161e-01,1.211158220721681715e+02,1.800777778752371328e+00,-1.716654878253142558e+00,3.452673867743461661e-02,1.946629949976976526e-01,-4.305278854138768452e+02,-5.557304956495374704e-01,4.548810771401298747e-02,-6.490796423260895582e-04,6.262398538923663160e+00,1.592491817094686439e+02,-9.932222240444163811e-03,2.128562639059422423e+01
-1.547025406384713517e-02,2.608359312003739205e+01,-1.702674528019391953e-02,6.419860349891717485e-03,5.401851398589344305e-04,-1.584429264110138735e-01,-3.699658049639952678e-02,7.389347483984014531e-01,3.492274950546710860e-03,9.564595650033396856e-04,9.935467811246985717e-08,-1.718414951441376291e-04,2.063993913014674792e-04,-3.602912816810165727e-03,5.530724566096659522e+00,-1.079053843413114500e+00,-3.462335403927064084e-03,2.379040504830094127e-05,-4.135439037572478417e-03,4.056778535223178744e-02,1.800777778752366443e+00,1.193681750938540898e+00,1.947606730055039814e-01,-1.433987147186792767e-03,2.283992525182083899e-02,-4.085529824136963128e+01,-6.793213488420303259e-01,2.945351242568850642e-02,1.940442852142471074e-03,3.369606237360926126e+00,7.046191194988213624e+01,3.624169434311780768e-04,-7.823839764092378468e-01
-4.996075194526056716e-03,7.238418959211666781e+00,-5.014054447434525622e-03,7.817927477096140929e-03,1.848370847160761467e-03,-9.522639176398491057e-02,-1.146054124313553371e-02,5.588186141902470871e-02,3.843958248449987330e-03,4.881765946698346384e-04,-8.065408779630521666e-06,1.404339341444597357e-02,-1.683448452349569149e-02,-2.277500840458518275e-04,2.378367046999599888e-01,-1.050718907278045955e-01,1.548536942993165421e-04,8.140899119979240028e-05,-1.416617033511358668e-02,3.673946722062173403e-02,-1.716654878253134786e+00,1.947606730055042867e-01,6.463526369222850620e-01,-1.770181124052082420e-03,4.123029109123383523e-02,-7.175550207939380698e+01,-8.797495980516412128e-01,4.973364049775882284e-03,6.407058152715252967e-04,4.898591400455278855e-01,1.330497764623188495e+01,3.943391316726682183e-04,-8.581584917197030427e-01
-3.288868780842082312e-04,7.266224907522274012e-01,-9.981450457153097713e-04,2.686107764604623183e-03,6.980438580079514422e-04,-2.227394188042387813e-03,6.148341911347632652e-04,-6.395151927925427863e-04,2.366981138813855079e+00,2.553058843931963135e-04,-3.142586652017202984e-07,5.520176946325859590e-04,-6.567610972017757717e-04,1.003973499286964838e-05,3.143202476730741577e-03,1.866529512313186076e-02,3.451561397677018611e-05,3.074189610605141196e-05,-5.338238673094616860e-03,-9.627373824425734274e-05,3.452673867743461661e-02,-1.433987147186818138e-03,-1.770181124052089142e-03,5.172702151111819191e+00,1.181227694539831435e-03,-2.424469573644589815e+00,-2.860399185934403218e-02,-3.642062949284413583e-05,-2.073019131445452868e-06,-4.547015421291991481e-03,-9.799567305171100196e-02,3.921663822867025861e-01,-6.267907810953777243e+02
1.746558482954416744e-03,1.042961085284523470e+00,6.920276771524467956e-03,-1.249485170692232056e-02,1.642107731143932796e-03,8.864876585255788977e-02,5.082183949229783504e-02,-1.389842001564113583e-02,6.069466871076133890e-03,-1.858355753638501768e-04,-7.368855401754544549e-07,1.283197803496867809e-03,-1.537929708941652507e-03,-9.504334752492040166e-04,1.886022688879002818e+00,-2.433056828533494698e-02,-3.757054454885437817e-04,7.232403983890904825e-05,-1.258350730058204608e-02,2.297979706332583475e-03,1.946629949977015384e-01,2.283992525182114083e-02,4.123029109123344665e-02,1.181227694539866563e-03,1.433629262405882177e-01,-2.816253522580832964e+02,-4.497736535045533834e+00,4.722647011215680467e-04,3.911605645396534574e-05,6.328214771910710412e-02,1.896605201947501484e+00,7.174688742607881900e-04,-1.417455295369585144e+00
-3.887595299410868233e+00,-2.795204762540044612e+03,-1.720775778238398956e+01,2.443499220745888323e+01,-4.521489182959038011e+00,-1.856846200730652470e+02,-1.238455021753805880e+02,3.531653014188743356e+01,-1.199362739439123260e+01,2.878687084213057967e-01,-7.547263032462344897e-04,1.313650317017585945e+00,-1.575710794579092466e+00,1.988361695043568744e+00,-3.960607722333892525e+03,3.088099520448658097e+01,9.043374610909893363e-01,-1.991417773240536648e-01,3.464799491922171626e+01,-3.930238457823741705e+00,-4.305278854138989573e+02,-4.085529824137073263e+01,-7.175550207939311065e+01,-2.424469573644714604e+00,-2.816253522580831827e+02,5.733123448738522129e+05,8.279031228746312991e+03,-7.771363089403466873e-01,-6.108393574324903069e-02,-1.148978929573267891e+02,-3.549037841463944460e+03,-1.419914400056466741e+00,2.802394219029199576e+03
-4.170699971566588400e-03,2.242104683637114135e+02,3.465181124924889278e-01,2.550398851876345963e-01,8.650760080024180732e-02,-2.975740982382373834e-01,3.591031943452711150e+00,-1.093046633896891162e+00,-2.050036723550269224e-01,1.612928986962498465e-02,2.916342863203727183e-04,-5.077686899281348420e-01,6.087278736737079532e-01,-1.969193241758021313e-03,1.191320731978679248e+01,4.081327578956888580e+00,3.579346253036688047e-02,3.810080956216584189e-03,-6.628717228547748030e-01,-5.808943076176071446e-02,-5.557304956489066416e-01,-6.793213488420591917e-01,-8.797495980516457648e-01,-2.860399185934614508e-02,-4.497736535045549822e+00,8.279031228746345732e+03,1.899035876102389011e+02,-2.480162147619892343e-02,-1.797447590385264742e-03,-1.904250922261258916e+00,-3.599661015336624104e+01,-2.396407219661635460e-02,4.769889553756289757e+01
-3.340131949371091271e-04,3.492825975651029369e-01,-3.410623654246804190e-04,3.017142868821155212e-04,1.185287323645969735e-04,-3.763610525900394545e-03,-4.249093408379971126e-03,-3.637782991126519594e+00,1.209980944712737901e-04,2.302205224420268839e-05,7.061026999894835402e-09,-1.226186376927777306e-05,1.472108129681576757e-05,-7.457904900919391181e-05,9.975028947692016201e-02,-2.967511455740830598e-02,-1.186012921429515656e-04,5.220199145154365171e-06,-9.075508335776702375e-04,1.005683159429054214e-03,4.548810771401146091e-02,2.945351242568828437e-02,4.973364049775827640e-03,-3.642062949284550463e-05,4.722647011215302081e-04,-7.771363089402664182e-01,-2.480162147619823995e-02,1.698054194041576315e+00,1.551291141447219135e-01,-2.484049010364692123e+01,-4.304065332906880599e+02,1.287306585515342811e-05,-2.731583898794904749e-02
-9.790947601601943540e-05,1.684510848433027064e-01,-2.984839457864280109e-04,-1.522087800754935061e-05,1.566455707812807081e-05,-1.298918166045088304e-03,-1.543834976408678741e-04,-1.524183633397325766e+00,4.471191060833672522e-06,-5.576561838910791610e-06,6.957050099562516531e-08,-1.211299399144855017e-04,1.452118813507584231e-04,1.099258437127338217e-05,-2.856934244225934477e-02,-2.476030653857951448e-03,-2.165328382746752126e-05,6.897648800633932404e-07,-1.194924237288675186e-04,8.367688661927665699e-05,-6.490796423261781375e-04,1.940442852142417948e-03,6.407058152714988422e-04,-2.073019131446551046e-06,3.911605645390618896e-05,-6.108393574312796781e-02,-1.797447590383782420e-03,1.551291141447216360e-01,4.265767232348068039e-02,-1.399666923451609435e+01,-3.606985239885133865e+02,4.583522232184418450e-07,-9.979695818354869345e-04
-3.041849518211642983e-03,-9.246101677301911792e+00,7.688154609695606323e-02,3.656230331084887875e-02,-2.369743722314289480e-02,1.500098490390342452e-02,-2.071349909736044104e-01,1.468420756336875456e+03,1.498305757966960153e-02,6.907193021798930556e-03,-3.385341510879596565e-05,5.894678792912707438e-02,-7.066424217602373936e-02,-2.043540245882864703e-02,3.905979148190409234e+01,-2.517028359056113107e+00,3.617308871505865372e-03,-1.043627912977500988e-03,1.812839355041323541e-01,1.112894516515504084e-01,6.262398538923760860e+00,3.369606237360949663e+00,4.898591400455449274e-01,-4.547015421291229938e-03,6.328214771915334491e-02,-1.148978929574218171e+02,-1.904250922262409329e+00,-2.484049010364655530e+01,-1.399666923451603751e+01,9.176290120422105247e+03,2.136556140071532282e+05,1.593173114481967337e-03,-3.381907710796554944e+00
