O $a$ ,O $b$ ,O O ,O Al ,O Mg ,O S ,O Si ,O Th ,O U ,Al $a$ ,Ca $a$ ,Ca $b$ ,Ca Ca ,K $a$ ,K $b$ ,K K ,K Si ,Mg $a$ ,Mg $b$ ,S $a$ ,S $c$ ,S S ,S Si ,S U ,Si $a$ ,Si $b$ ,Si $c$ ,Si Th ,Th $a$ ,Th $c$ ,Th Th ,U $a$ ,U $b$
1.098943122662626726e-01,-4.969714366420763946e-02,2.004720213411867111e-02,-2.251616620559207874e-02,-5.899050366941020404e-03,6.170887493379866306e-01,6.128008846057429043e-02,-2.298324498835139021e-03,-1.515297955302555245e-03,1.977447582327628191e-03,-1.986898720945898971e-05,9.117070813998141325e-06,-7.981067498834512109e-05,-5.395558594958647924e-02,4.121150555390645787e-02,-5.759373181900559642e-03,-1.300059737317254237e-03,-1.367855390919518613e-03,6.333659532450683209e-05,-5.061342062278713083e-01,1.000000000000000222e+00,1.497667498430812483e-01,-1.940205756936683734e-01,1.379419563609598663e-03,4.671587974524694237e-02,-5.166604272609178622e-02,-3.664352154842627496e-03,3.171915847078959905e-03,-2.855610502739529006e-04,5.940276960274769834e-03,4.141867113559120905e-03,-1.240565410937882794e-03,1.282360985756425022e-03
-5.397244321764203823e-02,3.961852305357579235e-02,-1.293704862018784339e-02,1.512723250849704179e-03,1.566858099600350448e-04,-6.404562895070135820e-02,-2.782312798283183633e-02,2.546155770801265469e-02,5.628437886168558913e-04,4.407522837937658151e-03,9.035512117800322572e-08,-4.118287068297164905e-08,3.612430731699678027e-07,-1.419766692943400833e-02,8.372752974236110854e-03,-8.613258782771703731e-03,-2.495455515901931574e-03,3.633011377754859358e-05,-1.680731419036476629e-06,4.204668022420072759e-01,1.497667498430808319e-01,1.000000000000000000e+00,2.217288614384275991e-01,-5.770882682602767461e-04,5.521180844801677062e-02,-4.938652414325847562e-02,-4.511951278584473701e-02,2.068793021740233939e-02,8.599199066892533258e-03,3.219595474441070554e-02,1.845990826069650662e-02,4.559717076768434515e-04,-4.747882607401709043e-04
-2.368716651069377802e-02,1.494115239823303951e-02,-5.177285702158183379e-03,2.503427699447435210e-03,7.285941148671081728e-04,-5.230985103306159956e-02,-1.171275371501908844e-02,2.616732080258631857e-03,8.419137947191818617e-04,3.057133647274809778e-03,-9.967823753863425329e-06,4.573726073876787484e-06,-4.004058864740590748e-05,-1.219638965867783425e-03,4.892993524710482307e-04,-1.139778450747631856e-03,1.516742238633294563e-04,1.689455704365443981e-04,-7.824177058859061644e-06,5.174790606405780258e-01,-1.940205756936675130e-01,2.217288614384279599e-01,1.000000000000000000e+00,-9.681088871677507972e-04,1.354450725109642983e-01,-1.178758394142990634e-01,-7.940680641700330333e-02,4.747223893420595385e-03,3.858560609216080822e-03,6.360670306788680090e-03,4.736949763866174154e-03,6.742311190773472287e-04,-7.077127895474698196e-04
-5.511968405938020297e-04,5.301823206583281510e-04,-3.643197942034035559e-04,3.040485065278174248e-04,9.726470757196706458e-05,-4.325130971375693478e-04,2.221201306459326245e-04,-1.058559532865575842e-05,1.832566685979496734e-01,5.651637817925598715e-04,-1.372894783018389925e-07,6.355169140814210070e-08,-5.521843287469474169e-07,1.900513771700672869e-05,2.285831148856492303e-06,7.157226841059511301e-05,1.195038343928430039e-05,2.255179491300586685e-05,-1.042221970465534202e-06,-4.793401296327526404e-04,1.379419563609598663e-03,-5.770882682602869376e-04,-9.681088871677544835e-04,1.000000000000000222e+00,1.371691527577565588e-03,-1.407869354180106211e-03,-9.126438362605787799e-04,-1.228889796899270358e-05,-4.413122645783588512e-06,-2.087056100497244901e-05,-1.233296662604103893e-05,2.370201703808100246e-01,-1.827208750580014418e-01
1.758262093356883354e-02,4.571143104080763707e-03,1.517235110137176400e-02,-8.495537396635935087e-03,1.374404373920274161e-03,1.033987247119922265e-01,1.102860537954122311e-01,-1.381879457516173087e-03,2.822642282181439446e-03,-2.471056422949959031e-03,-1.933705512171283926e-06,8.873767174080944370e-07,-7.767002613649113087e-06,-1.080714064210890925e-02,8.238706072242488188e-03,-5.604056190585381949e-04,-7.813651450175181871e-04,3.186936771223669042e-04,-1.475720973788085242e-05,6.872621875019842286e-02,4.671587974524787912e-02,5.521180844801749921e-02,1.354450725109630216e-01,1.371691527577606354e-03,1.000000000000000000e+00,-9.823306001888135741e-01,-8.620034398464894165e-01,9.571748613816986970e-04,5.001935173253420830e-04,1.744733957375668373e-03,1.433764757773273082e-03,2.604703637912244175e-03,-2.482076967190265104e-03
-1.957060767612804619e-02,-6.126227528482326191e-03,-1.886585473413915012e-02,8.307966496609286641e-03,-1.892418394635781613e-03,-1.083031787868920237e-01,-1.343919443743385456e-01,1.755923285132740064e-03,-2.789193419327631786e-03,1.914128309627707554e-03,-9.903816123842275677e-07,4.542730564106051227e-07,-3.979387732884011374e-06,1.130595490733900081e-02,-8.651605494608704400e-03,3.556839743891888851e-04,9.405022692710337086e-04,-4.388094088965406700e-04,2.031905159939012502e-05,-5.877842487375599390e-02,-5.166604272609444382e-02,-4.938652414325980788e-02,-1.178758394142979116e-01,-1.407869354180178636e-03,-9.823306001888131300e-01,1.000000000000000000e+00,7.934458434758849821e-01,-7.876364031269368670e-04,-3.906004938313142275e-04,-1.584100933437773218e-03,-1.341634988083573697e-03,-2.577746447910000439e-03,2.453905782474617801e-03
-1.153616007306151013e-03,2.700004218873142126e-02,2.087407328630480272e-02,4.764525962458151728e-03,1.989385710200790736e-03,-9.536509779870878251e-03,2.141121582343873397e-01,-2.986037542513305526e-03,-2.619502288868588019e-03,5.892789072007961065e-03,2.102716513902395652e-05,-9.647886458568998822e-06,8.446795836089002554e-05,-6.152183201391536347e-04,1.429857110819152339e-03,2.582875817016542196e-03,2.045323936288021005e-03,4.612929505842761437e-04,-2.135914584329928696e-05,-4.773371387257768772e-02,-3.664352154838468063e-03,-4.511951278584665215e-02,-7.940680641700371967e-02,-9.126438362606462172e-04,-8.620034398464925252e-01,7.934458434758880907e-01,1.000000000000000000e+00,-1.381140043195810529e-03,-6.315257663545422936e-04,-1.442527236806461464e-03,-7.476776732298363306e-04,-2.390384228776108039e-03,2.294912020143347140e-03
-9.770274362397523248e-04,4.448118170061251143e-04,-2.172730569923749086e-04,5.960713943852786318e-05,2.882565454722200180e-05,-1.275527475797941885e-03,-2.679224774706297392e-03,-1.050955123736250774e-01,1.635032853501045984e-05,8.894888236746273564e-05,5.383947644073926179e-09,-2.463846027057104196e-09,2.160226706980886510e-08,-2.464044662157545136e-04,1.266102644291453917e-04,-1.986027636762647836e-04,-7.167020064778944978e-05,6.683754610807780334e-06,-3.092545937312599858e-07,8.739369342846798130e-03,3.171915847078853219e-03,2.068793021740218327e-02,4.747223893420543343e-03,-1.228889796899316606e-05,9.571748613816220439e-04,-7.876364031268554434e-04,-1.381140043195772582e-03,1.000000000000000222e+00,5.763933507318175220e-01,-1.989989655711725813e-01,-9.454149679666565276e-02,1.357937862799836431e-05,-1.389834451901458571e-05
-1.806945520086489189e-03,1.353475431704836626e-03,-1.199693342312005504e-03,-1.897227043489959952e-05,2.403537231678961792e-05,-2.777436450126665856e-03,-6.141733170502241580e-04,-2.778189554915841408e-01,3.811960374279231322e-06,-1.359377819520752575e-04,3.346842560624771071e-07,-1.535627127521802102e-07,1.344432394853460211e-06,2.291441310274242081e-04,-2.287874470944696993e-04,-1.045504958825176723e-04,-8.255628939269649298e-05,5.572007600040887775e-06,-2.568992084583992655e-07,4.587769877184297643e-03,-2.855610502739918777e-04,8.599199066892297336e-03,3.858560609215921228e-03,-4.413122645785926323e-06,5.001935173245855267e-04,-3.906004938305401072e-04,-6.315257663540214429e-04,5.763933507318165228e-01,1.000000000000000222e+00,-7.074447935101145779e-01,-4.998793315997674958e-01,3.050523994914964842e-06,-3.203634998343023594e-06
-1.210383700781646893e-04,-1.601770306866044972e-04,6.662487220391733866e-04,9.826031622663444830e-05,-7.839694238734685528e-05,6.915874808451721552e-05,-1.776677274465387427e-03,5.770854225493575740e-01,2.754169132571740542e-05,3.630281132004407147e-04,-3.511378517580643052e-07,1.611237004770817298e-07,-1.410592372517182180e-06,-9.184534183504247879e-04,6.744144658166602259e-04,-2.291517602498484285e-04,2.973562003338116704e-05,-1.817696275034866117e-05,8.403239192789278157e-07,1.315573522254937129e-02,5.940276960274862642e-03,3.219595474441093452e-02,6.360670306788901267e-03,-2.087056100496895584e-05,1.744733957376943178e-03,-1.584100933439083368e-03,-1.442527236807332946e-03,-1.989989655711696392e-01,-7.074447935101116913e-01,9.999999999999997780e-01,6.384106643504540157e-01,2.286141361384690115e-05,-2.340736278603665284e-05
